score,city,state,total_actives,new_last_30d,new_last_90d,momentum_pct,top_rep,avg_deal_price,social_proof,call_angle
13,Millcreek,Utah,3,1,1,33.3,jacob,232.0,The Car Store Sales & Leasing | Motor Sportsland | FIND AUTO LLC,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Lynnwood,Washington,3,1,1,33.3,lexi,232.0,SILVER STAR AUTO SALES | Sports Cars International | Seattle Finest Motors,Fast growing (33.3% joined recently). Urgency play — market is moving.
13,Sugar Land,Texas,3,1,1,33.3,william,174.0,L AND L MOTOR TRADE INC | Eden Cars LLC | auto mall llc,Fast growing (33.3% joined recently). Urgency play — market is moving.
12,Hillsboro,Oregon,5,0,1,0.0,hazel,215.0,"D'Angelo, llc | Motosport Hillsboro | Stouffair Motors",5 active dealers in area. Use as social proof in opener.
12,Summerville,South Carolina,4,0,2,0.0,mark,230.0,B&A Auto Sales and Service | PRESTIGE AUTOMALL LLC | Car Point LLC,4 active dealers in area. Use as social proof in opener.
12,Tremonton,Utah,3,0,3,0.0,emily,199.0,C&R Auto & Trailer Sales | C&R Auto & Trailer Sales | C&R Auto & Trailer Sales,3 active dealers in area. Use as social proof in opener.
12,Foley,Alabama,3,0,3,0.0,rf006,232.0,HIGHSPEED AUTO SALES INC | Triple B Autos | M & D Auto Sales,3 active dealers in area. Use as social proof in opener.
12,Salt Lake City,Utah,5,0,1,0.0,rf005,199.0,THE GOOD CAR DEALER LLC | JJH AUTO SALES | Right Side Up Rv,5 active dealers in area. Use as social proof in opener.
12,Savannah,Georgia,5,0,1,0.0,rf007,279.0,H&L Auto Sales 2 LLC | Savannah Motorsports | HWY 17 Auto Sales,5 active dealers in area. Use as social proof in opener.
12,Grand Rapids,Michigan,5,0,1,0.0,mason,160.0,"Village Motorsports | Premier Automotive Sales, LLC | ELITE AUTO SALES OF MI, INC",5 active dealers in area. Use as social proof in opener.
12,Spokane,Washington,5,0,1,0.0,lisa,242.0,Auction Direct Motorsports | V8 Auto Sales | Globe Motors,5 active dealers in area. Use as social proof in opener.
12,Huntsville,Alabama,3,0,3,0.0,mason,139.0,O DATT Auto Sales LLC | O DATT Auto Sales LLC | O DATT AUTO SALES LLC,3 active dealers in area. Use as social proof in opener.
12,Nampa,Idaho,4,0,2,0.0,adam.c,249.0,Dicks Kar Korral | Kildow Auto Sales | WESTERN MOUNTAIN AUTO SALES,4 active dealers in area. Use as social proof in opener.
12,Cincinnati,Ohio,5,0,1,0.0,mason,174.0,UNITED MOTORSPORTS CINCINNATI | CinCity Harley-Davidson | MIRA AUTO SALES,5 active dealers in area. Use as social proof in opener.
12,Puyallup,Washington,5,0,1,0.0,william,199.0,Venture Auto Sales 4 | Bonney Lake Used Cars | MAKEEN MOTORS LLC,5 active dealers in area. Use as social proof in opener.
12,Roseville,California,5,0,1,0.0,rf007,150.0,Hayes Auto Sales | I-Deal Cars | Roseville Car Connection,5 active dealers in area. Use as social proof in opener.
12,Paterson,New Jersey,6,0,0,0.0,heather,247.0,Global Cars Mall LLC | xcell motors llc | 3bautosalesllc,6 active dealers in area. Use as social proof in opener.
12,Strathroy,Ontario,6,0,0,0.0,hazel,138.0,Bluewater Trailer Sales Ltd | Bluewater Trailer Sales Ltd | Bluewater Trailer Sales Ltd,6 active dealers in area. Use as social proof in opener.
12,Mooresville,North Carolina,6,0,0,0.0,rf005,249.0,Motors America Inc | Fast Lane Motors | Edge Motors,6 active dealers in area. Use as social proof in opener.
12,Anchorage,Alaska,6,0,0,0.0,Claire,231.0,Vito's Auto Sales | Anchorage Yamaha Inc | Lyberger's Car and Truck Sales,6 active dealers in area. Use as social proof in opener.
12,Arizona,Arizona,6,0,0,0.0,jasmine,99.0,Sky Auto Sales | Ways Auto Sales | Blue Lane Auto Sales,6 active dealers in area. Use as social proof in opener.
12,Baltimore,Maryland,6,0,0,0.0,wayne,179.0,Apex Motor Dealership | the in-housefinance | Pete's Cycle Co Baltimore,6 active dealers in area. Use as social proof in opener.
12,Wichita,Kansas,6,0,0,0.0,bill,202.0,Helten Farm Repair and Sales | KANSAS AUTO SALES | carbuycco,6 active dealers in area. Use as social proof in opener.
12,Winston Salem,North Carolina,6,0,0,0.0,mark,266.0,Triad Auto Mall INC | affordable motors inc | Better Way Automotive,6 active dealers in area. Use as social proof in opener.
12,Manteca,California,6,0,0,0.0,emily,235.0,H&M EUROPEAN AUTO | USA AUTO DEALER INC | Sunset Motors,6 active dealers in area. Use as social proof in opener.
12,Pittsburgh,Pennsylvania,6,0,0,0.0,vanessa,191.0,Ultra 1 Motors | qualitycarstore | Tri-State Trailer Sales Inc,6 active dealers in area. Use as social proof in opener.
12,Vancouver,British Columbia,6,0,0,0.0,john,123.0,Docksteader Subaru | Vancouver Volkswagen | Aldric Lee Auto,6 active dealers in area. Use as social proof in opener.
12,Langley,British Columbia,6,0,0,0.0,haidee,109.0,Vancouver Auto Center | Willowbrook Motors | Porsche Centre Langley,6 active dealers in area. Use as social proof in opener.
11,Somerville,Massachusetts,2,1,1,50.0,mason,162.0,johns auto slaes inc | Broadway Auto Sales,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Mineola,Texas,2,1,1,50.0,sam davis,174.0,BOB SMITH AUTO SALES | Quick Sale Auto,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Leander,Texas,2,1,1,50.0,bill,212.0,Reid's Triple T | Hill Country Motors,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Murrieta,California,2,1,1,50.0,bill,199.0,Aeo Powersports | Affordable Imports Auto Sales,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Mesquite,Texas,2,1,1,50.0,Claire,249.0,Multi Autos USA | Precision Autos,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Brigham City,Utah,2,1,1,50.0,adam.c,189.0,Trailer Source Brigham City | Trailer Source,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Clearfield,Utah,2,1,1,50.0,adam.c,189.0,Trailer Source Clearfield | Trailer Source Clearfield,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Cedar City,Utah,2,1,1,50.0,adam.c,189.0,Trailer Source | Trailer Source,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Chippewa Falls,Wisconsin,2,1,1,50.0,adam.c,244.0,Zacho Sports Center Powersports | Zacho Sports Center,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Muskego,Wisconsin,2,1,1,50.0,bill,249.0,Wisco Carts | INDIAN OF METRO MILWAUKEE,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,North York,Ontario,2,1,1,50.0,Claire,150.0,AA Canada Inc | Autopluto,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Downers Grove,Illinois,2,1,1,50.0,lisa,249.0,Star Auto Works | Auto House Motors,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Lilburn,Georgia,2,1,1,50.0,heather,199.0,United Auto Gallery | Georgia Auto Gallery,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Piedmont,South Carolina,2,1,1,50.0,adam.c,299.0,Adventure Golf Carts | Foothills Motorsports,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,New Jersey,New Jersey,2,1,1,50.0,Austin Parker,199.0,Carhub | AI Autosales,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Odessa,Texas,2,1,1,50.0,heather,194.0,new deal used cars | ROBERSON AUTO,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Parsippany,New Jersey,2,1,1,50.0,rf002,212.0,Zoom Auto Group | Jan Auto sales llc,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Hamilton,Ohio,2,1,1,50.0,rf007,199.0,Paul's Auto Sales & Services | International Auto Outlet,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,South Windsor,Connecticut,2,1,1,50.0,bill,212.0,G&R Marine Unlimited | Fancy Rides LLC,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Manchester,Connecticut,2,1,1,50.0,hazel,199.0,DriveMax | MOTORCAR WEST,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Naperville,Illinois,2,1,1,50.0,lisa,299.0,Mr Fleet | BG motor cars,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,St. Louis,Michigan,2,1,1,50.0,rf007,299.0,"SEELEY AUTO SALES | Miller Auto Sales, Inc.",Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Port Moody,British Columbia,2,1,1,50.0,lisa,199.0,West Wood Honda | Burrell Auto Group,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Ladson,South Carolina,2,1,1,50.0,heather,249.0,South Carolina Automobile | American Biker,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Davie,Florida,2,1,1,50.0,Robert Anderson,299.0,Carsrtoysmiami llc | Coastal Auto & Truck sales,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Florence,Alabama,2,1,1,50.0,hazel,299.0,Charlotte Harris | Singing River Honda,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Little Ferry,New Jersey,2,1,1,50.0,john harris,194.0,magic auto sale llc | Rev Motors LLC,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Matthews,North Carolina,2,1,1,50.0,alexa,249.0,"Driveway Motors, LLC | Big Tex Trailers",Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Sparks,Nevada,2,1,1,50.0,rf006,199.0,Sender Motors LLC | VICTORIAN AUTO SALES INC,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Chapin,South Carolina,2,1,1,50.0,adam.c,149.0,Blue Diamond Cargo - Chapin | Hometown Integrity Driven Motors,Fast growing (50.0% joined recently). Urgency play — market is moving.
11,Fremont,Nebraska,2,1,1,50.0,lexi,299.0,Millers Auto Sales | Nebraska Motors LLC,Fast growing (50.0% joined recently). Urgency play — market is moving.
10,Hialeah,Florida,4,0,1,0.0,lisa,249.0,The Palm Motors LLC | Auto Expo Inc | Broward Motorsports of Miami,4 active dealers in area. Use as social proof in opener.
10,Deland,Florida,3,0,2,0.0,adam.c,166.0,RC HILL HONDA OF DELAND | Vass Automotive | SOUTHERN RV INC,3 active dealers in area. Use as social proof in opener.
10,Mechanicsburg,Pennsylvania,3,0,2,0.0,adam.c,266.0,Karns Performance | Lawrence Chevrolet | Auto First LLC,3 active dealers in area. Use as social proof in opener.
10,Sherman Oaks,California,3,0,2,0.0,Anthony,299.0,RPM Motorcars | Anytime Auto Group | Monza Car,3 active dealers in area. Use as social proof in opener.
10,Orange,California,4,0,1,0.0,Meryem Bismi,169.0,FutureRide | kevin cars | Dong Car Inc,4 active dealers in area. Use as social proof in opener.
10,Jersey City,New Jersey,3,0,2,0.0,heather,266.0,MBM GROUP | Jersey City Autoland CORP | Diggi Auto Motors,3 active dealers in area. Use as social proof in opener.
10,Haltom City,Texas,4,0,1,0.0,william,239.0,daim autos llc | Brothers Motors | Midcity Auto,4 active dealers in area. Use as social proof in opener.
10,Manchester,New Hampshire,4,0,1,0.0,alexa,206.0,ODA Auto Precision LLC | MOMS Manchester New Hamsphire | valley street auto,4 active dealers in area. Use as social proof in opener.
10,Seattle,Washington,4,0,1,0.0,lisa,160.0,Five Star Autos | EZ DEALS AUTO SALES | Wild About Cars Garage,4 active dealers in area. Use as social proof in opener.
10,Katy,Texas,4,0,1,0.0,william,447.0,Avantgarde USA LLC | Carwin | Iron Supply Powersports,4 active dealers in area. Use as social proof in opener.
10,Union Gap,Washington,3,0,2,0.0,adam.c,232.0,Premier Auto Group | MCKENNA MOTORS INC | Yaktown Motors,3 active dealers in area. Use as social proof in opener.
10,Newport News,Virginia,4,0,1,0.0,amanda,204.0,Premier Autos Inc. | Advantage Motors Inc | Economy Auto Mart,4 active dealers in area. Use as social proof in opener.
10,Longmont,Colorado,4,0,1,0.0,rf007,180.0,Southcreek Auto | Booth Motors LLC | AP Auto Brokers,4 active dealers in area. Use as social proof in opener.
10,Okarche,Oklahoma,3,0,2,0.0,heather,192.0,Carter Chevrolet | Carter Chevrolet | Carter Chevrolet,3 active dealers in area. Use as social proof in opener.
10,Tyler,Texas,4,0,1,0.0,emily,149.0,"Broadway Powerpsorts | SANDLOT AUTOS | OWONO MOTORS, LLC",4 active dealers in area. Use as social proof in opener.
10,Jackson,Michigan,4,0,1,0.0,hazel,199.0,Monster motors | Jackson Auto Co. | Mid Michigan Trailers,4 active dealers in area. Use as social proof in opener.
10,Durham,North Carolina,5,0,0,0.0,bill,219.0,Combustion Cycles | Moaven Motors | Durham's Auto Mart,5 active dealers in area. Use as social proof in opener.
10,Villa Park,Illinois,5,0,0,0.0,bill,169.0,Chicago Harley-Davidson | Lucky Motors inc | Great Lakes Autosports,5 active dealers in area. Use as social proof in opener.
10,Leesburg,Virginia,5,0,0,0.0,bill,201.0,Leesburg Auto Import | Leesburg Auto Import | Leesburg Auto Import,5 active dealers in area. Use as social proof in opener.
10,Brooklyn,New York,5,0,0,0.0,bill,189.0,Triumph Brooklyn | Atlantic Car Sales | AutoForward Motors Inc,5 active dealers in area. Use as social proof in opener.
10,New Castle,Delaware,5,0,0,0.0,Ethan bradford,219.0,Glacier Auto Sales 2 | Tri-State Truck & Equipment Sales LLC | Mac cars,5 active dealers in area. Use as social proof in opener.
10,Melbourne,Florida,5,0,0,0.0,adam.c,189.0,"D&S Auto Sales, Inc | Murphy RV, LLC | PALM AUTO SALES",5 active dealers in area. Use as social proof in opener.
10,Greenville,Texas,5,0,0,0.0,adam.c,159.0,"BTS TRAILER SALES LLC | Greenville Motors,llc | Diamond Crest Auto Sales",5 active dealers in area. Use as social proof in opener.
10,Hickory,North Carolina,5,0,0,0.0,mason,219.0,"LA MOTORS, LLC | Great Western Of Hickory | EZ Cars of Hickory",5 active dealers in area. Use as social proof in opener.
10,West Palm Beach,Florida,5,0,0,0.0,maria,175.0,South Dixie Auto Sales | MR CAR LUXURY & QUIALITY MOTOR LLC | Palm Beach Mitsubishi,5 active dealers in area. Use as social proof in opener.
10,Addison,Illinois,5,0,0,0.0,lisa,187.0,Dream Motorworks LLC | REVVED MOTORS | TOP GEAR MOTORS,5 active dealers in area. Use as social proof in opener.
10,Auburn,Washington,4,0,1,0.0,maria,172.0,supreme motors llc | Reliable Auto Sales | Del Toro Auto Sales,4 active dealers in area. Use as social proof in opener.
10,Concord,California,5,0,0,0.0,tom,159.0,Bahal Motors | Delta Motors | Calidad Motors,5 active dealers in area. Use as social proof in opener.
10,Saskatoon,Saskatchewan,5,0,0,0.0,melanie,185.0,KEHOE RV | sky motors limited | Village Auto Group,5 active dealers in area. Use as social proof in opener.
10,Abbotsford,British Columbia,5,0,0,0.0,haidee,208.0,Envy Auto Connect | Rally Motors ltd | Open Road Toyota Abbotsford,5 active dealers in area. Use as social proof in opener.
8,Largo,Florida,3,0,1,0.0,alexa,174.0,st mariam auto sale | donny mills auto sales inc. | CAMAUTOS SALES & SERVICE LLC,3 active dealers in area. Use as social proof in opener.
8,Bonham,Texas,3,0,1,0.0,bill,299.0,Blackland Trailer Sales | Blackland Trailer Sales | Blackland Powersports and trailer sales,3 active dealers in area. Use as social proof in opener.
8,Fort Pierce,Florida,3,0,1,0.0,alexa,262.0,772 motors | ARS POWERSPORTS OF FORT PIERCE | Sun Camper Rv,3 active dealers in area. Use as social proof in opener.
8,New Bern,North Carolina,3,0,1,0.0,adam.c,199.0,Caballus Trailer | riverside camping center | Big Rock Powersports and Marine Newbern,3 active dealers in area. Use as social proof in opener.
8,Temecula,California,2,0,2,0.0,william,249.0,Top Notch Auto Sales | Xtreme Auto Group,2 active dealers in area. Use as social proof in opener.
8,Texas,Texas,3,0,1,0.0,alexa,166.0,MSM Auto Group | Miguel H Auto | Chase Autoplex,3 active dealers in area. Use as social proof in opener.
8,Sanford,Florida,3,0,1,0.0,Claire,241.0,Orlando Auto Lounge | Sky Powersports Sanford | ETS AUTOS INC,3 active dealers in area. Use as social proof in opener.
8,El Cajon,California,3,0,1,0.0,adam.c,249.0,Carson Trailer El Cajon | Santa Motor CA | Trinity Truck & SUV,3 active dealers in area. Use as social proof in opener.
8,Waco,Texas,3,0,1,0.0,adam.c,146.0,Barger's Allsports | Toby's Autos | MIKE MCGEE MOTORS INC.,3 active dealers in area. Use as social proof in opener.
8,Monroe,Louisiana,3,0,1,0.0,heather,208.0,Jim Taylor Buick GMC | ALLSTAR CARS & TRUCKS | Idom Auto Sales,3 active dealers in area. Use as social proof in opener.
8,Ruston,Louisiana,2,0,2,0.0,heather,199.0,Jim Taylor Ford | Jim Taylor Ford,2 active dealers in area. Use as social proof in opener.
8,Merriam,Kansas,3,0,1,0.0,rf002,199.0,Rahma Auto Sales | Smith and Sons Auto Sales | Country Hill Motors,3 active dealers in area. Use as social proof in opener.
8,Kokomo,Indiana,3,0,1,0.0,Ethan bradford,266.0,"Fast Lane Autos | CITY OF FIRSTS AUTO | TNT Auto Sales & Services, Inc.",3 active dealers in area. Use as social proof in opener.
8,Draper,Utah,2,0,2,0.0,emily,249.0,Utah Trailer Pros | Moto United - South Valley,2 active dealers in area. Use as social proof in opener.
8,Baytown,Texas,3,0,1,0.0,Anthony,266.0,Ottos Auto World | Gene's Powersports | Auto District,3 active dealers in area. Use as social proof in opener.
8,Kent,Ohio,3,0,1,0.0,alexa,174.0,ECAUTOCLUB LLC | Valumax | ECAUTOCLUB LLC,3 active dealers in area. Use as social proof in opener.
8,Little River,South Carolina,3,0,1,0.0,adam.c,174.0,"Affordable Trailers South Carolina | Jamie James Motor Company | SELECT SALES, LLC",3 active dealers in area. Use as social proof in opener.
8,Frederick,Maryland,3,0,1,0.0,rf006,266.0,Motorworld LLC | JT Motorsports Inc | capital auto sales,3 active dealers in area. Use as social proof in opener.
8,Garden City,Idaho,3,0,1,0.0,Anthony,174.0,Bargain Auto Sales LLC | Allan Marsh Travel Center | Happy Camper RV Sales,3 active dealers in area. Use as social proof in opener.
8,Rosemead,California,3,0,1,0.0,tyler young,266.0,FJ Motor Group | Nextcar Motor | ideal automotive,3 active dealers in area. Use as social proof in opener.
8,Pharr,Texas,3,0,1,0.0,adam.c,199.0,F&T VALLEY MOTOR SPORTS | Valley Auto | JP Motors LLC,3 active dealers in area. Use as social proof in opener.
8,Hammond,Indiana,3,0,1,0.0,alexa,150.0,SHOUMAN AUTO SALES AND RENTALS LLC | SOME AUTO SALES | Ace auto sales Inc,3 active dealers in area. Use as social proof in opener.
8,Fostoria,Ohio,2,0,2,0.0,mark,249.0,Fairway CDJR LLC | Fairway CDJR LLC,2 active dealers in area. Use as social proof in opener.
8,Vista,California,2,0,2,0.0,lisa,249.0,BLACK BLAZE MOTORS | SALAS CONSULTING LLC,2 active dealers in area. Use as social proof in opener.
8,Fairfield,Ohio,3,0,1,0.0,bill,232.0,United Motorsports | The Auto Livery LLC | Automotive Connection,3 active dealers in area. Use as social proof in opener.
8,Passaic,New Jersey,3,0,1,0.0,hazel,232.0,din motors llc | NASA AUTO GROUP LLC | Park Motor Cars,3 active dealers in area. Use as social proof in opener.
8,Gresham,Oregon,3,0,1,0.0,kyle,199.0,Bickmore Auto Sales | Horizon Auto Sales LLC | LANDERS MOTORS,3 active dealers in area. Use as social proof in opener.
8,Medford,New York,3,0,1,0.0,hazel,199.0,NEW YORK MOTOR CAR | KING AUTO SALES INC | Capital Motor Group,3 active dealers in area. Use as social proof in opener.
8,Preston,Idaho,4,0,0,0.0,hazel,224.0,West Motor Ford | Mountain West Motor | Mountain West Motor,4 active dealers in area. Use as social proof in opener.
8,Duluth,Georgia,4,0,0,0.0,josh,230.0,Atlanta Autoway | Duluth Autos & Trucks Inc. | ATLANTA DIRECT AUTO,4 active dealers in area. Use as social proof in opener.
8,Moncton,New Brunswick,4,0,0,0.0,emily,224.0,Rallye Motors | Pine Acres RV Moncton LTD | Moncton Honda,4 active dealers in area. Use as social proof in opener.
8,West Columbia,South Carolina,4,0,0,0.0,alexa,206.0,"Auto-Source of Columbia LLC | Automotive Experts Auto Sales | Rock N' Roll auto Sales, LLC.",4 active dealers in area. Use as social proof in opener.
8,Pensacola,Florida,4,0,0,0.0,rf005,180.0,Pensacola Auto Brokers Truck Center | Auto network inc. | Car Bazaar,4 active dealers in area. Use as social proof in opener.
8,St. Louis,Missouri,4,0,0,0.0,hazel,172.0,ALL AUTO SALES | Kneezle Auto Sales | BOOST AUTO SALES,4 active dealers in area. Use as social proof in opener.
8,Norcross,Georgia,4,0,0,0.0,hazel,347.0,El Ranchero Trucks | Carzilla (GA) | Atlanta Auto Max,4 active dealers in area. Use as social proof in opener.
8,Bono,Arkansas,4,0,0,0.0,bill,276.0,Jonesboro Cycle & ATV | Jonesboro Cycle and ATV Hemant | Jonesboro Cycle & ATV,4 active dealers in area. Use as social proof in opener.
8,Smithfield,North Carolina,3,0,1,0.0,mason,134.0,Landmark Auto LLC | Jackson Automotive | SMITHFIELD AUTO CENTER LLC,3 active dealers in area. Use as social proof in opener.
8,West Chester,Ohio,4,0,0,0.0,amanda,224.0,Unlimited Auto Group | Queen City Harley-Davidson | Preferred Autos LLC,4 active dealers in area. Use as social proof in opener.
8,Belleville,Ontario,4,0,0,0.0,emily,102.0,Carl Cox Quality Cars | Ventureautosales | Stormys Auto Sales,4 active dealers in area. Use as social proof in opener.
8,Waterloo,Ontario,4,0,0,0.0,hazel,212.0,KW Hond | TRI CITY CYCLE AND SPORT INC | TRICITY AUTO,4 active dealers in area. Use as social proof in opener.
8,Lévis,Quebec,4,0,0,0.0,bill,162.0,Groupe Carrier | Groupe Carrier | Centre du VR St-Nicolas / Montmagny,4 active dealers in area. Use as social proof in opener.
8,Eugene,Oregon,4,0,0,0.0,vanessa,156.0,VX Motors LLC | Motor City LLC | Success Auto Sales,4 active dealers in area. Use as social proof in opener.
8,Midland,Texas,4,0,0,0.0,alexa,162.0,Rayan Motors | B & B AUTO SALES | LATINO AUTO SALES INC,4 active dealers in area. Use as social proof in opener.
8,North Hollywood,California,4,0,0,0.0,lisa,186.0,Lifestyle Auto Haus | Armans Auto House | G & G Auto Wholesale,4 active dealers in area. Use as social proof in opener.
8,Shreveport,Louisiana,4,0,0,0.0,hazel,266.0,ORR CADILLAC | moes autoplex 2 llc | LA 171 AUTO,4 active dealers in area. Use as social proof in opener.
8,Lebanon,Tennessee,4,0,0,0.0,adam.c,162.0,Total Trailers Nashville | Auto World Plaza INC | Champs Auto Of lebanon LLC,4 active dealers in area. Use as social proof in opener.
8,Osage Beach,Missouri,4,0,0,0.0,bill,232.0,Performance Marine Watersports | OZARK AUTO | Surdyke Yamaha & Marina,4 active dealers in area. Use as social proof in opener.
8,Cambridge,Ontario,3,0,1,0.0,hazel,118.0,Source 1 Trucks | Pristine Auto Sales and Service | Lebada Motors Superstore Inc.,3 active dealers in area. Use as social proof in opener.
8,Killeen,Texas,4,0,0,0.0,william,209.0,KILLEEN AUTO BROKERS | Killeen Auto Sales | Airport Auto Sales,4 active dealers in area. Use as social proof in opener.
8,Davenport,Iowa,4,0,0,0.0,lexi,212.0,Kimberly Car CIty | Hawkeye Motorworks | Jeffs Car Corner,4 active dealers in area. Use as social proof in opener.
8,Montreal,Quebec,4,0,0,0.0,hailey,162.0,AUTO GLOBAL | Auto Kent | Lombardi Honda,4 active dealers in area. Use as social proof in opener.
8,New Westminster,British Columbia,4,0,0,0.0,lisa,145.0,kurumaya ventures ltd | Lions Auto | TALA AUTO SELECT INC,4 active dealers in area. Use as social proof in opener.
8,Denton,Texas,4,0,0,0.0,amanda,166.0,AR Motors TX | Ev Auto Sales llc | Best Deals Auto,4 active dealers in area. Use as social proof in opener.
8,Yakima,Washington,4,0,0,0.0,Claire,137.0,The Brown Boys | LV Auto sales and repair LLC | The Auto Mart Inc,4 active dealers in area. Use as social proof in opener.
8,Lubbock,Texas,4,0,0,0.0,raymond,132.0,Eagle Motors LBK | Wells Capital | Davis Motor Co,4 active dealers in area. Use as social proof in opener.
8,Rocky Mount,North Carolina,4,0,0,0.0,bill,182.0,TWIN COUNTY MOTORSPORTS | Maness Motors | AUTODRIVE NC INC,4 active dealers in area. Use as social proof in opener.
8,West Richland,Washington,4,0,0,0.0,michael,299.0,NWP Auto Sales 3 | NWP Auto Sales 3 | NWP Auto Sales 1,4 active dealers in area. Use as social proof in opener.
8,Jackson,Tennessee,4,0,0,0.0,rose,222.0,Carz Inc | Prime Auto USA | Old Country Auto,4 active dealers in area. Use as social proof in opener.
8,Milwaukee,Wisconsin,4,0,0,0.0,adam.c,174.0,Hansen Brothers Auto Sales | Arandas Auto Body and Sales | Ramsey Motors & Auto Care,4 active dealers in area. Use as social proof in opener.
8,Redford,Michigan,4,0,0,0.0,william,187.0,Quattro Motors | Billys Auto Sales Inc | Redford Auto Quality Used Cars,4 active dealers in area. Use as social proof in opener.
8,Sainte-Catherine,Quebec,4,0,0,0.0,bill,94.0,clairmount auto | Clairmount auto inc | Clairmount Auto Inc,4 active dealers in area. Use as social proof in opener.
8,Fort Collins,Colorado,4,0,0,0.0,ashely,196.0,Imports of Fort Collins Ltd | CHEEMA MOTORS INC | A&Z Import Auto Sales,4 active dealers in area. Use as social proof in opener.
8,Santa Rosa,California,4,0,0,0.0,bill,224.0,Santa Rosa RV | skyline auto sales | Carriage Motors,4 active dealers in area. Use as social proof in opener.
8,Philadelphia,Pennsylvania,4,0,0,0.0,maria,234.0,Arrow Motors | Germosen Auto Group Inc | Marc Rossi Auto Sales Inc.,4 active dealers in area. Use as social proof in opener.
8,Abington,Massachusetts,4,0,0,0.0,melissa,144.0,CROWN AUTO SALES | autotowne truck sales | Platinum Auto Sales,4 active dealers in area. Use as social proof in opener.
8,Fort Mill,South Carolina,4,0,0,0.0,tom,100.0,Mobile Magic Auto Center | BBS AUTO SALES | TRI-M MOTORCARS,4 active dealers in area. Use as social proof in opener.
6,Warr Acres,Oklahoma,2,0,1,0.0,amanda,299.0,BEN 'S AUTO SALES | Greenway Auto Credit inc,2 active dealers in area. Use as social proof in opener.
6,Palm Harbor,Florida,2,0,1,0.0,william,199.0,Briana's Auto Sales LLC. | 2K USACARS,2 active dealers in area. Use as social proof in opener.
6,Bloomfield,New Jersey,2,0,1,0.0,chris walker,199.0,elite auto trend | Pristine auto group,2 active dealers in area. Use as social proof in opener.
6,Jacksonville,North Carolina,2,0,1,0.0,rf005,149.0,Auto Mart | Onslow County Motor Company,2 active dealers in area. Use as social proof in opener.
6,Doraville,Georgia,2,0,1,0.0,Austin Parker,644.0,Reyes Autos & Trucks | Auto Guia Atlanta,2 active dealers in area. Use as social proof in opener.
6,Reynoldsburg,Ohio,2,0,1,0.0,tyler young,249.0,National Auto LLC | TRI-COUNTY PREOWNED SUPERSTORE,2 active dealers in area. Use as social proof in opener.
6,Kingsburg,California,2,0,1,0.0,adam.c,149.0,Carson Trailer of Kingsburg | Kinsgburg Truck Center,2 active dealers in area. Use as social proof in opener.
6,Whittier,California,2,0,1,0.0,Austin Parker,149.0,Prime Motors Direct LLC | RPE Motorcycle,2 active dealers in area. Use as social proof in opener.
6,Ogden,Utah,2,0,1,0.0,emily,199.0,C&R Auto & Trailer Sales | bitton auto sales,2 active dealers in area. Use as social proof in opener.
6,Greer,South Carolina,2,0,1,0.0,rf002,249.0,Select Auto Sales LLC | trade up auto sales,2 active dealers in area. Use as social proof in opener.
6,Port Charlotte,Florida,2,0,1,0.0,Meryem Bismi,249.0,Florida Cars South | S&N Motorsports,2 active dealers in area. Use as social proof in opener.
6,Upland,California,2,0,1,0.0,lisa,199.0,GSHSLLC | Don Chris Auto Sales,2 active dealers in area. Use as social proof in opener.
6,Decatur,Georgia,2,0,1,0.0,Claire,199.0,a one auto gallery | olympic auto sales,2 active dealers in area. Use as social proof in opener.
6,Yankton,South Dakota,2,0,1,0.0,adam.c,199.0,ALL SEASONS POWERSPORTS | Yankton Motorsports,2 active dealers in area. Use as social proof in opener.
